Month,Category,cases
1,Active_total,36801
1,Recovered_total,844
1,Death_total,889
2,Active_total,1244301
2,Recovered_total,380794
2,Death_total,46910
3,Active_total,5922043
3,Recovered_total,2705380
3,Death_total,397848
4,Active_total,42794590
4,Recovered_total,16307188
4,Death_total,4311652
5,Active_total,81306554
5,Recovered_total,54096711
5,Death_total,9610094
6,Active_total,114358708
6,Recovered_total,118883273
6,Death_total,13309562
7,Active_total,171122273
7,Recovered_total,242076180
7,Death_total,18391043
