"","country","confirmed","death","recovered"
"1","US",67023,1259,24005
"2","India",61242,793,39026
"3","Brazil",52383,1212,52047
"4","South Africa",11014,193,16570
"5","Colombia",9488,295,5692
"6","Mexico",8458,688,7015
"7","Peru",6809,205,0
"8","Argentina",5929,102,3184
"9","Russia",5468,161,8735
"10","Iraq",3346,70,1888
"11","Spain",3092,2,0
"12","Bangladesh",2772,28,2176
"13","France",2728,27,132
"14","Iran",2674,197,2319
"15","Chile",2131,80,1699
"16","Indonesia",2040,73,1615
"17","Equatorial Guinea",1750,32,1340
"18","Dominican Republic",1734,14,1168
"19","Saudi Arabia",1686,24,4460
"20","Bolivia",1555,83,277
"21","Romania",1295,39,398
"22","Kazakhstan",1289,0,1308
"23","Ukraine",1104,20,618
"24","Japan",1090,1,750
"25","Panama",1065,24,948
"26","Morocco",1063,7,347
"27","Ecuador",985,45,220
"28","Turkey",982,17,996
"29","Guatemala",963,57,1187
"30","Israel",934,12,361
"31","Ethiopia",915,11,187
"32","Pakistan",903,27,1046
"33","United Kingdom",883,120,1
"34","Germany",864,3,441
"35","Belgium",745,1,33
"36","Uzbekistan",738,5,784
"37","Kenya",723,16,44
"38","Venezuela",715,6,0
"39","Poland",657,7,344
"40","Canada",604,6,562
"41","Honduras",588,25,111
"42","Kyrgyzstan",582,14,1052
"43","Algeria",563,10,455
"44","Costa Rica",530,10,124
"45","Nigeria",462,1,295
"46","Bosnia and Herzegovina",432,11,373
"47","Kuwait",428,2,602
"48","Zambia",408,2,514
"49","El Salvador",402,9,156
"50","Singapore",396,0,183
"51","Moldova",390,7,229
"52","Italy",379,9,178
"53","Australia",377,5,224
"54","Ghana",359,7,810
"55","Armenia",354,10,631
"56","Netherlands",341,0,0
"57","Serbia",339,8,0
"58","Sweden",322,4,0
"59","Egypt",321,31,1402
"60","Azerbaijan",318,7,714
"61","West Bank and Gaza",289,1,61
"62","United Arab Emirates",283,2,283
"63","Bulgaria",270,9,146
"64","Qatar",235,3,242
"65","Bahrain",227,1,483
"66","Nepal",224,4,151
"67","Lebanon",221,4,8
"68","Malawi",220,7,115
"69","Switzerland",210,1,0
"70","Portugal",204,8,343
"71","Czechia",203,3,87
"72","Libya",183,1,14
"73","Austria",175,0,130
"74","China",166,2,107
"75","Sudan",148,21,118
"76","Belarus",143,6,679
"77","North Macedonia",137,6,534
"78","Afghanistan",133,1,38
"79","Paraguay",131,2,298
"80","Senegal",126,1,51
"81","Madagascar",120,1,346
"82","Gambia",95,1,2
"83","Albania",79,3,69
