Hariltsagchdiin_id,Credit_onoo,Bairshil,Huis,Nas,Dansan_dahi_mongo_usd,Avsan_uilchilgeenii_too,Olon_ulsiin_kardtai_eseh,Idevhtei_hariltsagch_eseh,Avdag_Tsalin_usd,zeel_avsan_eseh
15634602,619,Mongolia,Emegtei,42,0,1,Tiim,Tiim,101348.88,Tiim
15647311,608,Spain,Emegtei,41,83807.86,1,Ugui,Tiim,112542.58,Ugui
15619304,502,Mongolia,Emegtei,42,159660.8,3,Tiim,Ugui,113931.57,Tiim
15701354,699,Mongolia,Emegtei,39,0,2,Ugui,Ugui,93826.63,Ugui
15737888,850,Spain,Emegtei,43,125510.82,1,Tiim,Tiim,79084.1,Ugui
15574012,645,Spain,Eregtei,44,113755.78,2,Tiim,Ugui,149756.71,Tiim
15592531,822,Mongolia,Eregtei,50,0,2,Tiim,Tiim,10062.8,Ugui
15656148,376,Germany,Emegtei,29,115046.74,4,Tiim,Ugui,119346.88,Tiim
15792365,501,Mongolia,Eregtei,44,142051.07,2,Ugui,Tiim,74940.5,Ugui
15592389,684,Mongolia,Eregtei,27,134603.88,1,Tiim,Tiim,71725.73,Ugui
15767821,528,Mongolia,Eregtei,31,102016.72,2,Ugui,Ugui,80181.12,Ugui
15737173,497,Spain,Eregtei,24,0,2,Tiim,Ugui,76390.01,Ugui
15632264,476,Mongolia,Emegtei,34,0,2,Tiim,Ugui,26260.98,Ugui
15691483,549,Mongolia,Emegtei,25,0,2,Ugui,Ugui,190857.79,Ugui
15600882,635,Spain,Emegtei,35,0,2,Tiim,Tiim,65951.65,Ugui
15643966,616,Germany,Eregtei,45,143129.41,2,Ugui,Tiim,64327.26,Ugui
15737452,653,Germany,Eregtei,58,132602.88,1,Tiim,Ugui,5097.67,Tiim
15788218,549,Spain,Emegtei,24,0,2,Tiim,Tiim,14406.41,Ugui
15661507,587,Spain,Eregtei,45,0,1,Ugui,Ugui,158684.81,Ugui
15568982,726,Mongolia,Emegtei,24,0,2,Tiim,Tiim,54724.03,Ugui
15577657,732,Mongolia,Eregtei,41,0,2,Tiim,Tiim,170886.17,Ugui
15597945,636,Spain,Emegtei,32,0,2,Tiim,Ugui,138555.46,Ugui
15699309,510,Spain,Emegtei,38,0,1,Tiim,Ugui,118913.53,Tiim
15725737,669,Mongolia,Eregtei,46,0,2,Ugui,Tiim,8487.75,Ugui
